id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,popularity,release_decade,liveness,explicit,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08,0.02,72,2020,0.12,0,uplifting|bright|summery
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.05,0.65,45,2020,0.08,0,mellow|dreamy|focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.07,0.04,61,2010,0.21,0,driving|powerful|raw
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.78,38,2020,0.06,0,peaceful|rainy|soft
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.09,0.01,78,2010,0.15,0,pumping|motivating|energetic
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.02,0.90,29,2010,0.05,0,ethereal|floating|cinematic
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.04,0.55,42,1990,0.68,0,warm|jazzy|intimate
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,0.70,55,2010,0.10,0,atmospheric|dark|hypnotic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.82,41,2020,0.07,0,calm|productive|steady
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.07,0.03,63,2010,0.14,0,breezy|cheerful|summery
11,Concrete Jungle,MC Relay,hip-hop,energetic,0.85,95,0.62,0.84,0.08,0.72,0.02,82,2010,0.19,1,gritty|urban|confident
12,Moonlight Sonata Reborn,Clara Voss,classical,melancholic,0.25,58,0.22,0.30,0.98,0.03,0.96,34,2000,0.82,0,melancholic|haunting|cinematic
13,Velvet Nights,Sable Rose,r&b,romantic,0.55,85,0.75,0.68,0.62,0.12,0.04,58,2000,0.11,0,sensual|smooth|soulful
14,Iron Cathedral,Obsidian Tide,metal,aggressive,0.97,168,0.30,0.55,0.06,0.06,0.08,47,2010,0.24,1,crushing|heavy|dark
15,Porch in October,The Willows,folk,nostalgic,0.32,88,0.58,0.48,0.91,0.05,0.10,31,2000,0.45,0,nostalgic|rustic|cozy
16,Signal Drop,FREQ,edm,euphoric,0.95,140,0.88,0.92,0.04,0.03,0.85,69,2020,0.09,0,euphoric|soaring|electric
17,Delta Rain Blues,Earl Macon,blues,sad,0.38,76,0.18,0.45,0.84,0.06,0.45,28,1970,0.72,0,sorrowful|raw|soulful
18,Salsa Fuego,Caliente Bros,latin,festive,0.88,104,0.91,0.94,0.52,0.09,0.06,74,2000,0.58,0,festive|spicy|vibrant
